 	분류	타입1	타입2	타입3	위력	명중	대상	우선도	접촉 여부	효과	태그1	태그2	태그3	태그4	공격자 능력치	방어자 능력치	타입 순서
가시대포	물리	노말			20	100	단일	±0	×	2～5회 「연속」 기술．		연속			공격	방어	1
가위자르기	물리	노말			－	30	단일	±0	○	「일격필살」 기술．	일격필살				－	－	1
각지기	변화	노말			－	－	자신	±0	×	「공격＋1」					－	－	1
간지르기	변화	노말			－	100	단일	±0	×	「공격/방어－1」					－	－	1
강화펀치	물리	노말			250	90	단일	±0	○	「펀치」 기술．자신의 HP가 「가득」일 때，위력이 강화（2배）된다．	펀치			전용기술	공격	방어	1
개벽의빛	특수	노말			160	85	단일	±0	×	상대의 HP가 1/2 이상일 때，이 기술의 우선도를＋2한다．				전용기술	특공	특방	1
객기	물리	노말			70	100	단일	±0	○	자신이 「상태이상」일 때， 위력이 강화（2배）된다．「화상」 상태의 「공격」 반감을 무효화한다．					공격	방어	1
거합베기	물리	노말			50	95	단일	±0	○	「칼/검」 기술．	칼/검				공격	방어	1
거합뽑기	물리	노말			75	100	단일	－7	○	「칼/검」 기술．상대의 「방어」 기술을 해제한다．상대가 「방어」 기술을 내보내고 있으면 위력이 강화（2배）된다．	칼/검	방어관통			공격	방어	1
검은눈빛	변화	노말			－	－	단일	±0	×	3T 동안 상대를 「검은눈빛」 상태로 한다．		검은눈빛			－	－	1
겁나는얼굴	변화	노말			－	100	단일	±0	×	「속도－2」					－	－	1
게으름피우기	변화	노말			－	－	자신	±0	×	HP를 1/2만큼 회복한다．		회복			－	－	1
경혈찌르기	변화	노말			－	－	자신	±0	×	「랜덤한 능력치＋2」（명중/회피 포함）					－	－	1
고대의파동	특수	노말			90	100	단일	±0	×	「파동」 기술．상대의 「방어/특방/회피」의 상승（강화）을 관통한다．	파동	상승무시			특공	특방	1
고속스핀	물리	노말			50	100	단일	±0	○	자진（자신）의 「설치물」「조이기」 상태를 해제한다．「10할：속도＋1」		해제			공격	방어	1
고속킥	물리	노말			75	100	단일	±0	○	「킥」 기술．내보낼 때，자신의 「속도」을 강화（1.5배）한다．	킥				공격	방어	1
고양이돈받기	물리	노말			40	100	단일	±0	×	특수효과 없음．					공격	방어	1
괴력	물리	노말			80	100	단일	±0	○	특수효과 없음．					공격	방어	1
괴리검	물리	노말			120	90	전체	±0	×	명중 후，전체 필드의 특수한 상태를 해제한다．		해제		전용기술	공격	방어	1
구슬던지기	물리	노말			15	85	단일	±0	×	「탄/볼」 기술．2～5회 「연속」 기술．	탄/볼	연속			공격	방어	1
그림자분신	변화	노말			－	－	자신	±0	×	「회피＋1」					－	－	1
기가임팩트	물리	노말			150	90	단일	±0	○	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			공격	방어	1
기충전	변화	노말			－	－	자신	±0	×	자신을 「기충전」 상태로 한다．（C＋2）					－	－	1
기프트패스	변화	노말			－	－	단일	±0	×	자신의 「소지품」을 상대에게 넘겨준다．상대에게 「소지품」이 있으면 실패한다．					－	－	1
김밥말이	물리	노말			15	90	단일	±0	○	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			공격	방어	1
껍질깨기	변화	노말			－	－	자신	±0	×	「공격/특공/속도＋2」，「방어/특방－1」					－	－	1
꼬리미사일	물리	노말			80	－	단일	±0	×	「꼬리」 기술．	꼬리	필중			공격	방어	1
꼬리자르기	변화	노말			－	－	자신	±0	×	「유턴」 기술．HP를 1/2만큼 지불하고，자진을 「대타출동」 상태로 한다．			유턴		－	－	1
꼬리흔들기	변화	노말			－	100	단일	±0	×	「방어－1」					－	－	1
꿀꺽	변화	노말			－	－	자신	±0	×	자신의 「비축하기」 상태를 해제해，「비축하기」 상태의 횟수에 따라 HP를 회복한다．（1/4，1/2，「가득」）		회복			－	－	1
꿰뚫어보기	변화	노말			－	－	자신	±0	×	상대의 데이터를 해석하고，자신을 「꿰뚫어보기」 상태로 한다．		방어관통			－	－	1
끌어내기	변화	노말			－	90	단일	－7	×	상대를 「강제교대」시켜，임의의 상대 포켓몬을 필드에 끌어낸다．					－	－	1
난동부리기	물리	노말			150	100	단일	±0	○	2T 동안 자신을 「난동부리기」 상태로 한다．		난동부리기			공격	방어	1
날따름	변화	노말			－	－	자신	＋2	×	T 종료 시까지，자신을 「날따름」 상태로 한다．				더블배틀	－	－	1
날려버리기	변화	노말			－	－	단일	－6	×	「바람」 기술．「강제교대」 기술．	바람		강제교대		－	－	1
냄새구별	변화	노말			－	－	자신	±0	×	상대의 데이터를 해석하고，자신을 「꿰뚫어보기」 상태로 한다．		방어관통			－	－	1
노래하기	변화	노말			－	55	단일	±0	×	「소리」 기술．상대를 「잠듦」 상태로 한다．	소리				－	－	1
누르기	물리	노말			85	100	단일	±0	○	상대가 「작아지기」 상태일 때，위력이 강화（2배）되고 「필중」 효과가 부여된다．「3할：마비」					공격	방어	1
눈물그렁그렁	변화	노말			－	－	단일	±0	×	「공격/특공－1」		방어관통			－	－	1
다과회	변화	노말			－	－	필드	±0	×	필드의 전원이 지니고 있는 「나무열매」를 먹는다．					－	－	1
단단해지기	변화	노말			－	－	자신	±0	×	「방어＋1」					－	－	1
달콤한향기	변화	노말			－	100	전체	±0	×	「회피－2」					－	－	1
당신먼저	변화	노말			－	－	단일	±0	×	대상을 자신의 바로 다음에 행동하게 한다．				더블배틀	－	－	1
대타출동	변화	노말			－	－	자신	±0	×	HP를 1/4만큼 지불하고，자진을 「대타출동」 상태로 한다．					－	－	1
대폭발	물리	노말			250	100	전체	±0	×	자신을 「빈사」 상태로 하고，상대의 「방어」 능력치를 반감해서 대미지를 계산한다．	자폭	방반감			공격	방어	1
더블어택	물리	노말			35	90	단일	±0	○	2회 「연속」 기술．		연속			공격	방어	1
도우미	변화	노말			－	－	단일	＋5	×	아군을 「도우미」 상태로 한다．				더블배틀	－	－	1
돌림노래	특수	노말			60	100	단일	±0	×	「소리」 기술．아군이 같은 기술을 내보내면 바로 다음에 행동하고，위력이 강화（2배）된다．	소리			더블배틀	특공	특방	1
돌진	물리	노말			90	85	단일	±0	○	준 대미지의 1/4만큼 반동 대미지를 받는다．		반동			공격	방어	1
동료만들기	변화	노말			－	100	단일	±0	×	상대의 〔특성〕을 자신과 같은 〔특성〕으로 변경한다．		특성변경			－	－	1
비장의무기	물리	노말			140	100	단일	±0	○	모든 기술을 1번 이상 내보낸 후가 아니면 실패한다．					공격	방어	1
때려눕히기	물리	노말			150	85	단일	－7	○	특수효과 없음．					공격	방어	1
록클라임	물리	노말			90	85	단일	±0	○	「2할：혼란」					공격	방어	1
로켓박치기	물리	노말			130	100	단일	±0	○	「모으기」 기술．「방어＋1」	모으기				공격	방어	1
록온	변화	노말			－	－	단일	±0	×	상대를 「마음의눈」 상태로 한다．					－	－	1
리사이클	변화	노말			－	－	자신	±0	×	자신이 소모한 「소지품」을 다시 얻는다．					－	－	1
리프레시	변화	노말			－	－	자신	±0	×	「독」「마비」「화상」 상태를 치유한다．		치유			－	－	1
마구찌르기	물리	노말			15	85	단일	±0	○	2～5회 「연속」 기술．		연속			공격	방어	1
마구할퀴기	물리	노말			18	80	단일	±0	○	2～5회 「연속」 기술．		연속			공격	방어	1
마음의눈	변화	노말			－	－	단일	±0	×	상대를 「마음의눈」 상태로 한다．					－	－	1
마지막수단	특수	노말			*	－	단일	±0	×	남은 PP에 따라 위력이 변화한다．		필중			특공	특방	1
막치기	물리	노말			40	100	단일	±0	○	특수효과 없음．					공격	방어	1
먹칠하기	변화	노말			－	－	단일	±0	×	상대의 〔특성〕을 〔칠흑〕으로 변겅한다．		특성변경			－	－	1
멀리짖기	변화	노말			－	－	자신	±0	×	「소리」 기술．「공격＋1」	소리				－	－	1
메가톤캐논	특수	노말			120	75	단일	±0	×	특수효과 없음．					특공	특방	1
메가톤킥	물리	노말			120	75	단일	±0	○	「킥」 기술．	킥				공격	방어	1
메가톤펀치	물리	노말			80	85	단일	±0	○	「펀치」 기술．	펀치				공격	방어	1
멸망의노래	변화	노말			－	－	필드	±0	×	「소리」 기술．필드의 전원의 「죽음의 카운트」를 「4」로 한다．（이미 「죽음의 카운트」가 있는 포켓몬은 변경되지 않는다．）	소리				－	－	1
